condition,mode,noise_type,rms_ratio,seed,success,episodes,success_rate,env_task
single_mic,1,opposite,0.25,1,48,100,0.48,soundDiff-m4-f10-s2-p0-no1-ni0.25-nopp
single_mic,1,opposite,0.25,2,50,100,0.5,soundDiff-m4-f10-s2-p0-no1-ni0.25-nopp
single_mic,1,white,0.5,0,58,100,0.58,soundDiff-m4-f10-s2-p0-no1-ni0.5
single_mic,1,white,0.5,1,34,100,0.34,soundDiff-m4-f10-s2-p0-no1-ni0.5
single_mic,1,white,0.5,2,39,100,0.39,soundDiff-m4-f10-s2-p0-no1-ni0.5
single_mic,1,opposite,0.5,0,53,100,0.53,soundDiff-m4-f10-s2-p0-no1-ni0.5-nopp
single_mic,1,opposite,0.5,1,39,100,0.39,soundDiff-m4-f10-s2-p0-no1-ni0.5-nopp
single_mic,1,opposite,0.5,2,42,100,0.42,soundDiff-m4-f10-s2-p0-no1-ni0.5-nopp
single_mic,1,white,0.75,0,53,100,0.53,soundDiff-m4-f10-s2-p0-no1-ni0.75
single_mic,1,white,0.75,1,29,100,0.29,soundDiff-m4-f10-s2-p0-no1-ni0.75
single_mic,1,white,0.75,2,32,100,0.32,soundDiff-m4-f10-s2-p0-no1-ni0.75
single_mic,1,opposite,0.75,0,30,100,0.3,soundDiff-m4-f10-s2-p0-no1-ni0.75-nopp
single_mic,1,opposite,0.75,1,34,100,0.34,soundDiff-m4-f10-s2-p0-no1-ni0.75-nopp
single_mic,1,opposite,0.75,2,38,100,0.38,soundDiff-m4-f10-s2-p0-no1-ni0.75-nopp
single_mic,1,white,1.0,0,37,100,0.37,soundDiff-m4-f10-s2-p0-no1-ni1.0
single_mic,1,white,1.0,1,33,100,0.33,soundDiff-m4-f10-s2-p0-no1-ni1.0
single_mic,1,white,1.0,2,14,100,0.14,soundDiff-m4-f10-s2-p0-no1-ni1.0
single_mic,1,opposite,1.0,0,31,100,0.31,soundDiff-m4-f10-s2-p0-no1-ni1.0-nopp
single_mic,1,opposite,1.0,1,35,100,0.35,soundDiff-m4-f10-s2-p0-no1-ni1.0-nopp
single_mic,1,opposite,1.0,2,34,100,0.34,soundDiff-m4-f10-s2-p0-no1-ni1.0-nopp
single_mic,1,white,1.25,0,37,100,0.37,soundDiff-m4-f10-s2-p0-no1-ni1.25
single_mic,1,white,1.25,1,24,100,0.24,soundDiff-m4-f10-s2-p0-no1-ni1.25
single_mic,1,white,1.25,2,28,100,0.28,soundDiff-m4-f10-s2-p0-no1-ni1.25
single_mic,1,opposite,1.25,0,28,100,0.28,soundDiff-m4-f10-s2-p0-no1-ni1.25-nopp
single_mic,1,opposite,1.25,1,30,100,0.3,soundDiff-m4-f10-s2-p0-no1-ni1.25-nopp
single_mic,1,opposite,1.25,2,29,100,0.29,soundDiff-m4-f10-s2-p0-no1-ni1.25-nopp
single_mic,1,white,1.5,0,31,100,0.31,soundDiff-m4-f10-s2-p0-no1-ni1.5
single_mic,1,white,1.5,1,33,100,0.33,soundDiff-m4-f10-s2-p0-no1-ni1.5
single_mic,1,white,1.5,2,21,100,0.21,soundDiff-m4-f10-s2-p0-no1-ni1.5
single_mic,1,opposite,1.5,0,34,100,0.34,soundDiff-m4-f10-s2-p0-no1-ni1.5-nopp
single_mic,1,opposite,1.5,1,37,100,0.37,soundDiff-m4-f10-s2-p0-no1-ni1.5-nopp
single_mic,1,opposite,1.5,2,41,100,0.41,soundDiff-m4-f10-s2-p0-no1-ni1.5-nopp
